is_contributor_anonymous,is_contributor_deleted,time_of_day,day_of_week,is_minor_edit,comment_length,is_comment_deleted,is_previous_same_contributor,time_since_last_article_edit,size_change,size_ratio,tableGeometryChange,tag_id
0,0,19,5,1,111,0,0,48,876,1.3088858,3.0,12
0,0,5,4,0,23,0,0,26244,18,1.000384,0.0,12
0,0,8,7,0,38,0,0,377,-694,0.9926262,-46.0,12
1,0,3,2,0,20,0,1,387,18,1.0004779,0.0,5
1,0,3,2,0,20,0,1,387,18,1.0004779,0.0,11
0,0,7,2,0,0,0,1,693,3,1.0000335,0.0,12
0,0,20,2,1,118,0,0,61,-52,0.9988374,0.0,12
0,0,4,3,0,7,0,1,430,6,1.0000468,0.0,12
0,0,22,7,0,57,0,0,59434,7,1.000097,0.0,12
1,0,17,4,0,20,0,1,14,-41,0.9979959,0.0,6
0,0,10,5,0,12,0,1,47,-550,0.9553354,0.0,12
1,0,1,3,0,26,0,0,531371,1744,1.101166,0.0,3
1,0,7,2,0,18,0,0,1597,-9,0.9998412,0.0,12
0,0,5,3,0,38,0,0,9683,2,1.0003252,0.0,12
1,0,20,4,0,16,0,0,10793,138,1.0020019,0.0,12
0,0,2,2,0,0,0,1,32,-24,0.99563956,0.0,1
0,0,2,2,0,0,0,1,32,-24,0.99563956,0.0,11
1,0,23,5,0,11,0,0,108419,140,1.0373932,0.0,12
1,0,15,2,0,3,0,0,1206,-363,0.98617935,0.0,12
0,0,6,7,0,32,0,1,203,-1320,0.9654857,-13.0,12
1,0,15,1,0,10,0,0,-2108511,470,1.0427973,0.0,12
0,0,23,3,0,0,0,1,69,0,1.0,0.0,12
1,0,19,7,0,0,0,0,279628,0,1.0,0.0,5
0,0,8,3,0,26,0,0,27635,112,1.0030541,0.0,12
0,0,17,1,0,160,0,0,2520,-4,0.9994701,0.0,12
1,0,0,2,0,19,0,1,336,238,1.0091223,0.0,12
1,0,21,2,0,14,0,0,788212,29,1.0075896,0.0,1
1,0,21,2,0,14,0,0,788212,29,1.0075896,0.0,11
1,0,2,3,0,0,0,0,23992,-364,0.9986009,0.0,6
0,0,12,4,0,55,0,1,14123,-487,0.9042846,-2.0,12
1,0,7,1,0,0,0,0,498613,-15,0.98725575,0.0,2
1,0,7,1,0,0,0,0,498613,-15,0.98725575,0.0,11
1,0,3,1,0,0,0,0,-694775,19,1.0006231,0.0,2
1,0,3,1,0,0,0,0,-694775,19,1.0006231,0.0,11
1,0,21,3,0,39,0,0,40387,0,1.0,0.0,2
1,0,21,3,0,39,0,0,40387,0,1.0,0.0,11
1,0,7,2,0,0,0,0,12336,-20,0.9983932,0.0,5
1,0,20,6,0,14,0,0,239550,332,1.0189866,0.0,12
0,0,20,5,1,149,0,0,490,-893,0.8928614,0.0,3
0,0,20,2,0,14,0,1,37,-4,0.9989683,0.0,2
0,0,20,2,0,14,0,1,37,-4,0.9989683,0.0,11
1,0,16,1,0,0,0,0,53001,679,1.0015574,6.0,5
1,0,16,1,0,0,0,0,53001,679,1.0015574,6.0,11
0,0,15,1,0,10,0,1,-789636,-222,0.9756499,0.0,12
0,0,23,5,0,14,0,0,884315,315,1.015897,0.0,12
0,0,20,1,0,28,0,0,182210,792,1.1806982,4.0,12
1,0,18,6,0,59,0,0,324,298,1.0023819,0.0,12
1,0,3,7,0,36,0,0,-1616334,-9,0.9996904,0.0,3
1,0,4,4,0,17,0,0,3550,24,1.0000782,0.0,5
1,0,4,4,0,17,0,0,3550,24,1.0000782,0.0,11
0,0,18,7,0,12,0,1,525,182,1.0082855,0.0,12
1,0,4,2,0,20,0,0,64857,0,1.0,0.0,5
1,0,23,1,0,20,0,1,45,0,1.0,0.0,3
1,0,23,1,0,20,0,1,45,0,1.0,0.0,5
1,0,23,1,0,20,0,1,45,0,1.0,0.0,11
1,0,2,1,0,0,0,0,-173988,-7,0.9998528,0.0,12
1,0,10,5,0,21,0,1,169,893,1.0586574,6.0,2
1,0,10,5,0,21,0,1,169,893,1.0586574,6.0,11
0,0,15,3,1,125,0,0,24660,-99,0.98389196,0.0,12
1,0,11,5,0,13,0,1,320,1,1.0001098,0.0,12
1,0,8,3,0,10,0,0,603151,510,1.0320332,3.0,12
1,0,2,7,0,15,0,1,23,78,1.0030221,0.0,1
1,0,15,3,0,0,0,0,16427,1,1.0000489,0.0,12
0,0,4,4,0,0,0,1,308,46,1.0007911,0.0,12
0,0,18,1,1,112,0,0,128,239,1.0024525,0.0,12
0,0,9,3,0,20,0,1,86191,56,1.0007783,0.0,12
0,0,5,4,1,0,0,0,2520069,-37822,0.32800314,-134.0,1
0,0,17,6,1,66,0,0,343972,-2,0.9994962,0.0,12
0,0,12,4,0,11,0,0,1089794,1644,1.1202458,7.0,12
0,0,16,3,0,68,0,0,276222,-132891,0.5263957,0.0,9
0,0,15,2,1,99,0,0,-745916,4,1.0000148,0.0,12
1,0,0,1,0,60,0,1,1235,-864,0.9691539,-7.0,1
1,0,23,6,0,17,0,0,466192,0,1.0,0.0,5
0,0,15,7,0,49,0,0,141542,-47,0.99970734,0.0,12
0,0,20,7,0,14,0,1,1022101,0,1.0,0.0,12
1,0,19,1,0,0,0,1,337,-8,0.99834645,0.0,5
1,0,19,1,0,0,0,1,337,-8,0.99834645,0.0,11
1,0,14,7,0,10,0,0,366172,-5,0.9994159,0.0,12
0,0,14,7,0,136,0,0,88998,-704,0.9595216,0.0,12
0,0,22,3,0,13,0,0,207,390,1.0010356,0.0,12
1,0,16,3,0,0,0,1,6653,1,1.0000361,0.0,3
0,0,21,2,1,125,0,0,6530,-1,0.9999727,0.0,12
1,0,16,7,0,11,0,0,4945,12,1.0068221,0.0,2
1,0,21,2,0,28,0,1,158,-3,0.9999101,0.0,12
0,0,12,6,0,99,0,0,590187,94,1.0013709,0.0,12
1,0,14,7,0,14,0,0,59,-45,0.9988647,0.0,5
1,0,14,7,0,14,0,0,59,-45,0.9988647,0.0,11
1,0,20,1,0,0,0,1,64,0,1.0,0.0,5
1,0,20,1,0,0,0,1,64,0,1.0,0.0,11
1,0,17,1,0,18,0,1,59,-25,0.99974704,0.0,12
0,0,4,6,0,64,0,1,787,7407,1.026931,33.0,12
0,0,19,5,1,203,0,0,4,-425,0.78643215,0.0,12
0,0,14,7,1,25,0,0,35709,-11,0.99992466,0.0,9
1,0,20,6,0,112,0,0,-1573838,-663,0.9742003,-8.0,12
0,0,16,6,1,156,0,0,881,-73,0.99864733,0.0,12
0,0,6,2,1,118,0,1,257,-181,0.9970828,0.0,12
1,0,17,7,0,33,0,1,168,-2,0.9995463,0.0,12
0,0,0,7,0,150,0,0,-2463718,1,1.0000064,0.0,12
1,0,12,7,0,23,0,1,29,-118,0.9973967,0.0,3
1,0,22,2,0,24,0,0,347541,500,1.0078042,3.0,12
1,0,22,7,0,50,0,1,44,0,1.0,0.0,12
1,0,22,2,0,7,0,0,7735,47,1.0011691,0.0,5
1,0,22,2,0,7,0,0,7735,47,1.0011691,0.0,11
1,0,22,2,0,35,0,0,154038,-20,0.9989636,0.0,5
0,0,14,2,0,122,0,0,149,-701,0.99002147,-3.0,12
0,0,23,7,0,40,0,1,10469,-3272,0.7258713,-6.0,12
1,0,5,7,0,17,0,0,150729,1,1.0000577,0.0,5
1,0,20,5,0,28,0,1,51,2,1.0000603,0.0,12
1,0,4,6,0,8,0,1,172,420,1.0222871,0.0,12
1,0,23,3,0,0,0,0,9337,2,1.0000153,0.0,5
1,0,23,3,0,0,0,0,9337,2,1.0000153,0.0,11
1,0,20,4,0,0,0,1,60,46,1.0115317,0.0,12
1,0,18,5,0,17,0,0,59490,-354,0.9424016,0.0,2
1,0,21,5,0,13,0,0,116979,44,1.0001897,0.0,3
1,0,21,5,0,13,0,0,116979,44,1.0001897,0.0,11
0,0,3,6,0,27,0,1,64,494,1.0271907,4.0,12
1,0,1,7,0,13,0,0,118800,-47,0.9994263,0.0,3
1,0,14,5,0,15,0,1,152,-2,0.9999575,0.0,12
0,0,5,2,1,106,0,0,24422,1,1.0000033,0.0,12
1,0,1,2,0,23,0,1,149,62,1.0024476,0.0,12
0,0,3,5,0,35,0,0,422,-175,0.9917756,0.0,12
0,0,16,3,1,132,0,0,1912,0,1.0,0.0,5
1,0,1,3,0,25,0,0,-1907033,-1,0.99998254,0.0,12
1,0,19,3,0,19,0,1,36,0,1.0,0.0,12
1,0,21,5,0,29,0,0,96614,-113,0.99807,0.0,3
1,0,21,5,0,29,0,0,96614,-113,0.99807,0.0,4
0,0,10,1,1,0,0,1,408523,24,1.0005858,0.0,12
1,0,15,3,0,13,0,0,-1230267,0,1.0,0.0,2
1,0,15,3,0,13,0,0,-1230267,0,1.0,0.0,11
0,0,0,4,1,151,0,0,40085,-370,0.96665466,-4.0,12
1,0,0,7,0,17,0,0,141307,-30,0.9985034,0.0,5
0,0,23,3,0,125,0,0,1143,507,1.030941,0.0,12
0,0,6,4,0,36,0,0,193240,-9201,0.78705335,-18.0,12
0,0,0,4,0,19,0,1,70,0,1.0,0.0,12
1,0,15,2,0,25,0,1,60,-4,0.9986559,0.0,12
0,0,19,2,0,20,0,1,327755,146,1.0014433,0.0,12
0,0,15,1,0,137,0,0,7426,-95,0.9884611,0.0,12
0,0,0,1,1,42,0,0,25,1,1.000027,0.0,12
1,0,11,4,0,21,0,1,93,-2,0.99990714,0.0,5
1,0,19,6,0,23,0,1,22,1,1.0000188,0.0,12
0,0,14,7,1,18,0,0,15050,63,1.0013244,0.0,12
0,0,13,3,1,0,0,0,33819,4,1.0005624,0.0,2
0,0,13,3,1,0,0,0,33819,4,1.0005624,0.0,11
1,0,3,4,0,72,0,1,61916,292,1.0101084,3.0,12
1,0,2,4,0,35,0,0,21753,-8,0.99982166,0.0,3
1,0,14,3,0,35,0,0,1811,6,1.0000952,0.0,5
1,0,14,3,0,35,0,0,1811,6,1.0000952,0.0,11
1,0,22,4,0,21,0,0,-787770,0,1.0,0.0,5
1,0,22,4,0,21,0,0,-787770,0,1.0,0.0,11
1,0,21,1,0,53,0,1,190,9,1.0003196,0.0,2
1,0,21,1,0,53,0,1,190,9,1.0003196,0.0,11
1,0,21,6,0,0,0,1,88,-29,0.99809587,0.0,2
1,0,21,6,0,0,0,1,88,-29,0.99809587,0.0,11
1,0,20,1,0,12,0,0,117037,12,1.0001913,0.0,2
1,0,20,1,0,12,0,0,117037,12,1.0001913,0.0,11
0,0,15,5,0,80,0,0,833556,164,1.0025402,0.0,12
1,0,18,3,0,36,0,1,121,4,1.0000442,0.0,12
1,0,23,4,0,13,0,1,30,1,1.00002,0.0,5
0,0,13,4,0,131,0,0,13448,178,1.0397588,0.0,12
0,0,17,4,0,56,0,0,13623,152,1.0023636,0.0,12
1,0,11,7,0,20,0,0,80841,-1496,0.98364955,-6.0,9
1,0,2,3,0,53,0,0,-2329424,27,1.000425,0.0,12
0,0,5,6,0,12,0,0,14393,7,1.000133,0.0,3
1,0,18,2,0,21,0,1,40,20,1.0008038,0.0,5
0,0,19,5,0,0,0,1,79,-196,0.9955431,0.0,12
0,0,18,7,1,118,0,0,2021,-1032,0.9264905,0.0,12
1,0,16,1,0,154,0,0,19479,94,1.0005349,0.0,2
1,0,16,1,0,154,0,0,19479,94,1.0005349,0.0,3
1,0,16,1,0,154,0,0,19479,94,1.0005349,0.0,4
1,0,16,1,0,154,0,0,19479,94,1.0005349,0.0,11
0,0,1,3,0,7,0,0,358,541,1.0010304,3.0,12
1,0,16,6,0,22,0,1,11,42,1.0182927,0.0,12
1,0,2,3,0,0,0,1,69,1,1.0000329,0.0,5
1,0,2,3,0,0,0,1,69,1,1.0000329,0.0,11
0,0,1,7,1,103,0,0,97516,39,1.0025424,0.0,12
1,0,13,4,0,25,0,0,277605,-17,0.9995692,0.0,12
1,0,16,6,0,0,0,0,544,95,1.0004144,0.0,5
1,0,17,1,0,23,0,1,27,0,1.0,0.0,6
1,0,17,1,0,23,0,1,27,0,1.0,0.0,12
0,0,2,2,0,17,0,0,396,18,1.0010728,0.0,12
0,0,21,1,0,46,0,1,238,1642,1.0456975,0.0,12
1,0,20,7,0,9,0,1,130,85,1.0012975,0.0,12
1,0,23,1,0,25,0,0,8962,1895,1.0513314,0.0,12
1,0,12,1,0,11,0,1,57,-1,0.9999678,0.0,5
1,0,6,3,0,13,0,1,100,0,1.0,0.0,12
1,0,17,6,0,11,0,0,-1769577,8,1.0011965,0.0,2
0,0,18,4,0,14,0,1,96,56,1.0059422,0.0,12
1,0,21,7,0,18,0,0,17682,3080,1.0348803,15.0,5
1,0,21,7,0,18,0,0,17682,3080,1.0348803,15.0,11
0,0,13,7,0,18,0,0,-559466,97,1.0036652,0.0,2
0,0,13,7,0,18,0,0,-559466,97,1.0036652,0.0,5
0,0,13,7,0,18,0,0,-559466,97,1.0036652,0.0,11
1,0,17,5,0,138,0,0,1920,-664,0.9557893,-2.0,12
0,0,13,5,0,0,0,1,77,82,1.0095694,0.0,12
1,0,4,1,0,15,0,0,285214,9,1.0001467,0.0,12
1,0,15,4,0,140,0,0,164482,29882,1.3367631,0.0,12
0,0,2,3,0,20,0,0,428,1,1.0000046,0.0,12
1,0,22,4,0,0,0,0,232085,-1020,0.91616666,-12.0,12
0,0,8,5,1,169,0,0,1495042,42,1.0008515,0.0,12
1,0,1,1,0,10,0,0,1200810,-3,0.9995512,0.0,5
0,0,11,6,0,12,0,0,185917,428,1.0249825,2.0,12
1,0,1,1,0,25,0,0,590,94,1.0050437,0.0,12
1,0,23,6,0,0,0,0,-2280589,0,1.0,0.0,12
0,0,20,6,1,18,0,0,110,0,1.0,0.0,12
0,0,3,6,1,98,0,0,4491,-940,0.85675097,-14.0,12
1,0,1,1,0,12,0,0,131,0,1.0,0.0,12
0,0,23,3,0,220,0,0,-1218911,0,1.0,0.0,12
0,0,21,7,1,30,0,0,-516521,180,1.0010358,0.0,12
1,0,19,4,0,13,0,0,151969,0,1.0,0.0,12
0,0,16,3,0,27,0,0,-3124965,330,1.0271672,0.0,12
1,0,11,6,0,0,0,1,51,4,1.000708,0.0,5
1,0,11,6,0,0,0,1,51,4,1.000708,0.0,11
1,0,11,1,0,17,0,0,-677213,-5,0.9994351,0.0,12
0,0,4,1,0,49,0,0,-1362950,-490,0.97428364,0.0,12
1,0,13,1,0,10,0,1,106,6,1.0004547,0.0,2
1,0,13,1,0,10,0,1,106,6,1.0004547,0.0,11
1,0,19,3,0,30,0,0,7783,-1,0.9999761,0.0,5
1,0,19,3,0,30,0,0,7783,-1,0.9999761,0.0,11
1,0,3,1,0,14,0,1,54,40,1.0009118,0.0,12
1,0,23,6,0,16,0,0,172874,0,1.0,0.0,5
1,0,23,6,0,16,0,0,172874,0,1.0,0.0,11
0,0,15,4,0,0,0,1,66751,2,1.0002857,0.0,12
0,0,13,4,0,96,0,0,35,1795,1.0224445,0.0,12
0,0,1,4,1,51,0,0,247056,-9,0.9995155,0.0,12
1,0,6,4,0,0,0,0,14801,213,1.0075858,0.0,12
0,0,10,4,1,114,0,1,7971,41,1.0220075,0.0,12
0,0,16,2,0,113,0,0,6543,3352,1.0779879,0.0,9
0,0,22,5,0,3,0,0,4654,0,1.0,0.0,12
1,0,22,6,0,20,0,0,-1969636,0,1.0,0.0,9
1,0,22,6,0,20,0,0,-1969636,0,1.0,0.0,11
0,0,15,3,0,0,0,0,225557,-21,0.9993514,0.0,5
1,0,22,5,0,16,0,1,59,92,1.0013305,0.0,12
0,0,4,3,1,40,0,1,186,4,1.0000736,0.0,12
1,0,8,7,0,21,0,0,76230,2114,1.0866003,10.0,12
1,0,9,5,0,0,0,0,558439,24,1.0020483,0.0,12
0,0,21,4,0,0,0,0,173029,146,1.0040848,0.0,12
1,0,7,3,0,18,0,0,335899,-2154,0.9831758,-10.0,1
1,0,7,3,0,18,0,0,335899,-2154,0.9831758,-10.0,3
1,0,7,3,0,18,0,0,335899,-2154,0.9831758,-10.0,11
0,0,15,2,0,14,0,0,239518,94,1.0056726,0.0,12
0,0,15,2,0,76,0,0,118,2477,1.0899419,17.0,12
0,0,7,2,1,34,0,1,990,523,1.0309541,3.0,12
0,0,4,3,0,12,0,0,39971,11,1.0010467,0.0,12
1,0,20,5,0,0,0,0,15018,-3,0.99983966,0.0,3
1,0,12,1,0,17,0,0,9587,42,1.0013038,0.0,12
1,0,3,3,0,13,0,1,54,-78,0.98779154,0.0,12
1,0,23,7,0,125,0,0,401,7669,1.0720608,60.0,3
1,0,3,2,0,14,0,0,717009,179,1.057427,0.0,12
1,0,6,3,0,75,0,1,25,-1,0.99999505,0.0,12
1,0,11,6,0,15,0,1,172,-830,0.9900327,-11.0,12
0,0,20,3,0,137,0,0,27,-1667,0.9738202,0.0,1
0,0,20,3,0,137,0,0,27,-1667,0.9738202,0.0,12
0,0,11,4,0,55,0,1,84600,621,1.034149,7.0,12
0,0,1,1,1,24,0,0,-1161491,-18,0.9996509,0.0,12
0,0,0,7,0,25,0,0,9050,0,1.0,0.0,5
1,0,2,1,0,26,0,0,580519,0,1.0,0.0,5
1,0,1,5,0,0,0,1,84,-39,0.9992531,0.0,12
1,0,20,6,0,19,0,1,42,120,1.0159936,0.0,5
1,0,20,6,0,19,0,1,42,120,1.0159936,0.0,10
1,0,20,6,0,19,0,1,42,120,1.0159936,0.0,11
1,0,3,2,0,13,0,0,3864,1,1.0000399,0.0,5
0,0,2,4,1,0,0,1,139,484,1.0845858,2.0,12
0,0,8,3,0,134,0,0,46595,-171,0.9696108,0.0,12
1,0,8,3,0,0,0,0,25994,-411,0.9526006,0.0,2
1,0,8,3,0,0,0,0,25994,-411,0.9526006,0.0,11
1,0,18,1,0,0,0,0,1663988,-3,0.99926454,0.0,5
0,0,9,2,1,191,0,0,40925,0,1.0,0.0,12
0,0,0,3,0,44,0,1,840,-19,0.9988237,0.0,12
0,0,21,1,0,51,0,1,365,792,1.0024728,6.0,12
1,0,6,7,0,17,0,1,108,0,1.0,0.0,5
0,0,3,3,0,29,0,0,-2392209,11,1.0001669,0.0,12
0,0,16,2,1,120,0,0,4,-40,0.99744296,0.0,12
1,0,15,4,0,12,0,1,145,87,1.0017825,0.0,5
1,0,15,4,0,12,0,1,145,87,1.0017825,0.0,11
0,0,21,3,0,186,0,0,5355,0,1.0,0.0,12
0,0,12,4,0,12,0,0,36077,-103,0.9869851,0.0,12
1,0,1,6,0,14,0,0,724,0,1.0,0.0,5
1,0,17,5,0,12,0,0,148035,0,1.0,0.0,5
1,0,17,5,0,12,0,0,148035,0,1.0,0.0,11
1,0,21,3,0,18,0,0,20106,-343,0.98997897,-3.0,1
1,0,7,1,0,13,0,0,1279749,0,1.0,0.0,12
1,0,16,6,0,0,0,0,652,386,1.3490055,6.0,6
1,0,16,5,0,22,0,1,23,4,1.0005567,0.0,12
1,0,13,6,0,25,0,0,27329,58,1.0042613,0.0,2
1,0,13,6,0,25,0,0,27329,58,1.0042613,0.0,11
0,0,2,4,0,0,0,0,534,6,1.0002184,0.0,12
1,0,8,3,0,11,0,0,36730,7,1.0006703,0.0,12
0,0,17,2,1,0,0,0,340999,1,1.0001773,0.0,12
0,0,22,1,0,5,0,1,-1556599,3648,1.5099245,8.0,12
0,0,5,4,1,0,0,0,36433,0,1.0,0.0,2
0,0,5,4,1,0,0,0,36433,0,1.0,0.0,11
1,0,4,5,0,20,0,1,70,-132,0.98876214,0.0,12
0,0,15,5,0,20,0,1,267,1604,1.0059177,7.0,12
1,0,22,2,0,13,0,1,50,42,1.003813,0.0,12
0,0,9,6,0,34,0,0,24119,2,1.0000694,0.0,12
0,0,8,1,1,79,0,0,26588,-63,0.99983966,0.0,12
1,0,18,3,0,18,0,0,1719290,-547,0.99202263,-3.0,1
0,0,11,3,1,4,0,0,81697,-1,0.9999828,0.0,6
0,0,21,3,0,0,0,0,44,-4151,0.90339774,-24.0,12
0,0,19,5,0,27,0,1,287,328,1.0285044,0.0,12
0,0,17,1,0,24,0,0,800471,-38,0.99968624,0.0,5
0,0,17,1,0,24,0,0,800471,-38,0.99968624,0.0,11
0,0,6,6,0,14,0,1,1587,0,1.0,0.0,12
0,0,11,6,0,144,0,0,772,-230,0.9954865,0.0,12
1,0,21,5,0,11,0,0,4859,11,1.0003779,0.0,2
1,0,21,5,0,11,0,0,4859,11,1.0003779,0.0,11
1,0,21,1,0,0,0,0,37450,51,1.0052291,0.0,2
1,0,21,1,0,0,0,0,37450,51,1.0052291,0.0,11
1,0,15,2,0,19,0,0,-3186295,156,1.0101695,0.0,3
0,0,16,2,1,42,0,1,340,354,1.0019052,0.0,12
0,0,2,4,0,9,0,1,3317,79045,1.249857,402.0,12
0,0,18,5,0,0,0,0,317807,0,1.0,0.0,12
0,0,16,6,0,64,0,0,98245,299,1.152863,0.0,12
0,0,17,7,0,17,0,1,65,-11,0.9988724,0.0,12
1,0,13,3,0,16,0,1,608,1,1.000167,0.0,12
0,0,22,5,0,12,0,0,11484,-48,0.9984475,0.0,12
1,0,22,3,0,21,0,1,449,433,1.0528371,3.0,12
1,0,21,3,0,0,0,0,337,523,1.0152212,0.0,6
1,0,19,4,0,13,0,1,101,1,1.0000408,0.0,12
1,0,22,5,0,31,0,0,-2995083,281,1.0331329,76.0,12
1,0,1,2,0,14,0,0,178,354,1.029468,93.0,5
0,0,0,2,0,62,0,0,32621,14,1.0000478,0.0,12
1,0,4,1,0,0,0,0,34868,-352,0.98982394,0.0,1
1,0,20,6,0,10,0,0,-513842,0,1.0,0.0,5
1,0,20,6,0,10,0,0,-513842,0,1.0,0.0,11
0,0,2,2,1,173,0,0,37,-47,0.9997094,0.0,12
1,0,16,2,0,53,0,0,12276,982,1.0019338,4.0,12
0,0,2,2,0,38,0,0,282,127,1.0039953,0.0,9
0,0,12,6,0,28,0,1,69,31,1.00016,0.0,12
1,0,9,4,0,13,0,1,21,-1,0.9998804,0.0,5
1,0,9,4,0,13,0,1,21,-1,0.9998804,0.0,11
0,0,1,7,0,31,0,0,74,31,1.0003126,0.0,12
0,0,14,5,0,78,0,0,13750,307,1.0008757,0.0,12
1,0,5,2,0,61,0,1,4667,2,1.0000178,0.0,12
0,0,3,4,0,152,0,0,922,71,1.003748,-32.0,3
1,0,23,3,0,0,0,0,184341,16,1.002451,0.0,4
1,0,23,3,0,0,0,0,184341,16,1.002451,0.0,5
1,0,20,3,0,12,0,0,391117,0,1.0,0.0,12
0,0,6,4,0,42,0,0,5328,106,1.0207112,0.0,9
0,0,13,7,1,177,0,0,108,-1349,0.9530668,0.0,12
0,0,22,6,0,36,0,0,378162,139,1.008238,0.0,12
1,0,17,7,0,21,0,0,310455,179,1.0123389,0.0,12
1,0,22,6,0,13,0,1,28,0,1.0,0.0,12
0,0,0,2,1,159,0,0,375,-15,0.99931824,0.0,12
0,0,4,7,1,145,0,0,151637,12,1.0013691,0.0,12
0,0,1,4,1,116,0,0,49,-42,0.98849946,0.0,12
0,0,7,6,0,0,0,0,795975,49,1.0012379,0.0,2
0,0,7,6,0,0,0,0,795975,49,1.0012379,0.0,11
0,0,21,4,1,13,0,1,233009,157,1.0123118,0.0,12
0,0,20,4,0,32,0,0,88986,22,1.0037243,0.0,12
1,0,10,7,0,18,0,1,20,0,1.0,0.0,12
1,0,20,5,0,25,0,0,447368,1410,1.0190138,6.0,12
0,0,18,6,0,7,0,1,120,1075,1.0054555,6.0,12
1,0,18,3,0,0,0,0,6667,95,1.0051608,0.0,3
1,0,22,2,0,0,0,0,574121,0,1.0,0.0,12
1,0,0,1,0,28,0,1,50,-69,0.99907506,0.0,12
1,0,5,4,0,81,0,0,50642,-28,0.99779475,0.0,12
1,0,23,5,0,23,0,0,5289,49,1.0019888,0.0,2
1,0,23,5,0,23,0,0,5289,49,1.0019888,0.0,11
1,0,18,2,0,0,0,1,59,0,1.0,0.0,5
0,0,12,1,1,26,0,0,140404,83,1.0017284,0.0,12
