is_contributor_anonymous,is_contributor_deleted,time_of_day,day_of_week,is_minor_edit,comment_length,is_comment_deleted,is_previous_same_contributor,time_since_last_article_edit,size_change,size_ratio,tableGeometryChange,tag_id
0,0,0,2,1,142,0,0,1485,1782,1.0463688,-9.0,12
1,0,12,5,0,7,0,1,212,8,1.0000196,0.0,12
1,0,14,3,0,19,0,1,12454,-1245,0.9799045,-9.0,1
1,0,14,3,0,19,0,1,12454,-1245,0.9799045,-9.0,11
0,0,19,7,0,79,0,1,12015,3,1.0000205,0.0,12
0,0,2,6,1,16,0,1,48,0,1.0,0.0,12
1,0,13,7,0,0,0,0,20190,2,1.0000455,0.0,12
1,0,20,2,0,19,0,0,72757,317,1.0330037,0.0,5
1,0,20,2,0,19,0,0,72757,317,1.0330037,0.0,11
1,0,4,1,0,17,0,1,168,-296,0.99448407,0.0,3
1,0,16,4,0,24,0,0,6208,0,1.0,0.0,5
1,0,22,5,0,21,0,0,24580,-40,0.99970233,0.0,2
1,0,22,5,0,21,0,0,24580,-40,0.99970233,0.0,11
0,0,19,2,0,48,0,1,843,542,1.0036492,0.0,12
1,0,18,4,0,22,0,0,7843,5,1.0000757,0.0,2
0,0,10,7,0,86,0,0,34806,112,1.0004133,0.0,12
1,0,5,3,0,19,0,0,291153,-8,0.9995893,0.0,2
1,0,5,3,0,19,0,0,291153,-8,0.9995893,0.0,11
1,0,10,4,0,26,0,0,5971,475,1.0395405,0.0,12
0,0,0,7,0,27,0,0,30867,0,1.0,0.0,12
1,0,11,4,0,28,0,0,-2286158,-1,0.9996927,0.0,3
0,0,0,6,0,133,0,0,355356,14,1.0003914,0.0,12
0,0,15,6,0,0,0,1,76,0,1.0,0.0,5
1,0,22,3,0,33,0,1,39,564,1.0542047,0.0,12
0,0,20,1,1,136,0,0,67,-138,0.95711625,0.0,12
0,0,9,7,0,17,0,0,564661,-151,0.9925185,0.0,12
1,0,17,1,0,13,0,0,43404,46,1.0040951,0.0,12
1,0,0,7,0,21,0,1,459,82,1.004924,0.0,12
0,0,16,2,1,27,0,0,417923,-1,0.99994195,0.0,12
0,0,2,7,0,0,0,1,407,109,1.0002729,0.0,12
0,0,17,1,0,25,0,1,7312,0,1.0,0.0,12
1,0,20,3,0,17,0,0,29,0,1.0,0.0,2
1,0,20,3,0,17,0,0,29,0,1.0,0.0,11
0,0,13,3,0,35,0,0,24110,-653,0.99109685,0.0,12
1,0,7,3,0,0,0,0,372,-38,0.9972412,0.0,2
1,0,7,3,0,0,0,0,372,-38,0.9972412,0.0,11
1,0,0,2,0,21,0,0,24088,12,1.0027373,0.0,12
1,0,13,3,0,0,0,0,73,2,1.0001589,0.0,2
0,0,7,4,0,22,0,0,-119680,747,1.0295538,0.0,12
0,0,22,6,0,27,0,1,79,-3,0.9999023,0.0,12
0,0,16,1,1,14,0,1,180335,129,1.0062783,0.0,12
0,0,6,5,0,143,0,0,5787,-1488,0.98684806,-10.0,12
1,0,22,2,0,24,0,0,57561,390,1.0280818,0.0,2
1,0,22,2,0,24,0,0,57561,390,1.0280818,0.0,11
0,0,21,7,0,18,0,1,87,0,1.0,0.0,12
0,0,2,6,0,14,0,1,276,2694,2.5599306,0.0,12
0,0,12,6,0,18,0,1,316823,-4,0.999306,0.0,12
1,0,22,6,0,0,0,0,525295,-28,0.9994137,0.0,12
1,0,13,5,0,7,0,0,853929,1,1.000003,0.0,6
0,0,3,6,1,43,0,0,723078,-18,0.9998298,0.0,12
0,0,21,2,0,131,0,1,33,0,1.0,0.0,12
1,0,23,2,0,25,0,0,13634,0,1.0,0.0,5
0,0,2,1,1,154,0,0,263,-39,0.9946888,0.0,12
0,0,20,2,0,15,0,1,7487,682,1.0182275,0.0,12
0,0,15,4,0,19,0,0,54,-7365,0.8489912,-16.0,1
1,0,14,6,0,17,0,1,26,-9,0.9993217,0.0,3
0,0,20,7,1,125,0,0,618,-8,0.99919856,0.0,12
0,0,10,4,0,110,0,0,1233,-420,0.9829684,-3.0,1
