isContributorAnonymous,isBot,timeOfDay,dayOfWeek,isMinorEdit,hasPreviousSameContributor,timeSinceLastArticleEdit,timeSinceLastArticleEditBySameContributor,timeSinceFirstArticleEditBySameContributor,revertCount,ratioOffAllEditsToContributorEdits,contributorRevertedBeforeInThatArticleCount,timeSinceContributorRevertedBeforeInThatArticle,currentRowCount,currentColumnCount,currentCellCount,unmatchedTableRatio,unmatchedRowRatio,cellCountChange,rowCountChange,columnCountChange,sharedCellRatio,rankChange,clipCount,personalPronounFrequencyInComment,personalPronounFrequencyInTable,personalPronounImpactInTable,vulgarWordFrequencyInComment,vulgarWordFrequencyInTables,vulgarWordImpactInTables,sexualWordFrequencyInComment,sexualWordFrequencyInTables,sexualWordImpactInTables,nonDictionaryWordFrequencyInComment,nonDictionaryWordFrequencyInTable,nonDictionaryWordImpactInTable,superlativeWordFrequencyInTable,superlativeWordImpactInTable,superlativeWordFrequencyInComment,wikiSyntaxElementFrequencyInTable,wikiSyntaxElementImpactInTable,wikiSyntaxElementFrequencyInComment,averageAllBadWordFrequencyInTable,averageAllBadWordImpactInTable,averageAllBadWordFrequencyInComment,revertInComment,ratioOfNumericalCharsToAllChars,ratioOfAlphanumericCharsToAllChars,ratioOfUppercaseCharsToAllChars,ratioOfUppercaseCharsToLowercaseChars,lengthOfLongestConsecutiveSequenceOfSingleChar,lengthOfLongestToken,averageRelativeFrequencyOfNewAddedWords,previousLength,sizeChange,sizeRatio,LZWCompressionRate,KLDOfCharDistribution,commentLength,templateUseFlags,templateUseFifaFlags,templateUsePageLink,templateUseYesNo,revision_id,tag_id
0.0,0.0,13.0,7.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,82.0,34.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,1.0,0.0,0.0,0.0,0.4,0.6770186335403726,109.0,0.018633540372670808,3.0,0.0,0.3157894736842105,24.0,0.0,0.14037267080745341,22.6,0.08,0.0,0.09785353535353536,0.7512626262626263,0.07323232323232323,0.12717391304347825,3.0,78.0,-1.0,0.0,11909.0,11910.0,0.5138888888888888,1024.0000000000002,34.0,0.0,0.0,0.0,0.0,228189784,12
0.0,0.0,2.0,2.0,0.0,1.0,25.0,25.0,198701.0,0.0,0.13301088270858524,3.0,-1.0,7.0,6.0,42.0,1.0,0.2857142857142857,6.0,1.0,0.0,0.9923809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,-0.125,0.0,0.2,-0.029850746268656716,0.0,0.0,-0.0246309963099631,0.0,0.0,0.0423728813559322,0.7796610169491526,0.0847457627118644,0.14102564102564102,2.0,9.0,7.545271629778672E-4,19755.0,504.0,0.003831999089425959,0.3089943109690159,4.1267393794327045,14.0,0.0,0.0,0.0,0.0,730449352,12
0.0,0.0,17.0,6.0,1.0,0.0,7837.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,14.0,4.0,56.0,1.0,0.0,0.0,0.0,0.0,0.9922480620155039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.019230769230769232,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.08888888888888888,0.10384615384615385,0.13333333333333333,0.0,0.0,0.7443609022556391,0.10526315789473684,0.1744186046511628,2.0,29.0,2.372479240806643E-4,2637.0,78.0,0.003622357742216516,0.4348958333333333,85.52582169698351,67.0,0.0,0.0,2.0,0.0,216224416,12
0.0,1.0,1.0,4.0,1.0,0.0,2108.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05263157894736842,0.7368421052631579,0.07236842105263158,0.1276595744680851,2.0,31.0,2.3628372950238646E-5,30652.0,-14.0,-1.9590409740954506E-4,0.35389432232658724,1.2866421489672548,152.0,0.0,0.0,0.0,0.0,539338621,12
1.0,0.0,20.0,2.0,0.0,0.0,4077.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,18.0,13.0,234.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51063829787234E-4,0.0,0.0,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.5,1.0,4.0,0.016423357664233577,1334.0,0.0,4.8440224762642895E-5,0.4282639885222382,342.59518196000306,10.0,0.0,0.0,0.0,0.0,746191686,12
0.0,0.0,12.0,4.0,0.0,0.0,8555.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.8,0.2,0.0,0.0,0.5,0.5,7.0,2.0,11.0,0.0,196.0,-1803.0,-0.9988913525498891,5.0,1023.9999999999999,11.0,0.0,0.0,0.0,0.0,55058176,12
0.0,0.0,1.0,5.0,0.0,1.0,1336.0,1336.0,4369018.0,0.0,0.03575221238938053,6.0,-1.0,55.0,3.0,165.0,1.0,0.0,0.0,0.0,0.0,0.9969008270116719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4044241404183698E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-4.8088482808367394E-5,0.0,0.0,0.034425538093493094,0.7027400764704662,0.06964620309615505,0.11634540981902596,4.0,168.0,9.393251225266742E-5,148979.0,453.0,5.85303468245353E-4,0.29161392299088457,2.0918681292202925,1.0,0.0,0.0,2.0,0.0,681568790,12
0.0,0.0,21.0,6.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.06666666666666667,1.0,7.0,-1.0,0.0,181.0,182.0,4.0,1024.0,15.0,0.0,0.0,0.0,0.0,306862647,12
0.0,0.0,1.0,2.0,1.0,0.0,1072.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,9.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.46153846153846156,0.6666666666666666,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,-0.002,0.10769230769230771,0.0,0.028699551569506727,0.715695067264574,0.1147982062780269,0.20187793427230047,3.0,49.0,0.005551700208188757,1106.0,4.0,5.543237250554324E-4,0.5478119935170178,16.6802973078065,136.0,0.0,0.0,4.0,0.0,93707903,12
0.0,0.0,16.0,1.0,0.0,0.0,67.0,32172.0,1684958.0,2.0,0.5168800931315483,6.0,-1.0,89.0,4.0,356.0,1.0,-0.011235955056179775,-8.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019890260631001373,0.0,0.0,0.0,0.0,-0.0189873417721519,0.0,0.0,-0.003978052126200274,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,24591.0,-2744.0,-0.021940314027243422,0.3856422549181683,0.0,0.0,2.0,0.0,5.0,0.0,572210555,12
