isContributorAnonymous,isBot,timeOfDay,localizedTimeOfDay,dayOfWeek,localizedDayOfWeek,isMinorEdit,authorRank,authorRankOfLast200Edits,authorRankOneMonth,authorRankOfLast200EditsOfOneMonth,hasPreviousSameContributor,timeSinceLastArticleEdit,timeSinceLastArticleEditBySameContributor,timeSinceFirstArticleEdit,revertCount,prevRevertCount,editRatio,contributorRevertRatio,timeSinceReverted,articleTemperatureAll,articleTemperatureYear,articleTemperatureMonth,articleTemperatureWeek,articleTemperatureDay,articleTemperatureHour,articleTemperatureRatio,currentRowCount,currentColumnCount,currentCellCount,unmatchedTableRatio,unmatchedRowRatio,cellCountChange,rowCountChange,columnCountChange,sharedCellRatio,rankChange,averageCellSizeIncrease,averageCellSizeDecrease,averageCellSize,addedEmptyCellRatio,removedEmptyCellRatio,emptyCellCount,addedInvalidAttributes,isTableAdded,addedTableCount,isTableModified,modifiedTableCount,isTableDeleted,deletedTableCount,areMultipleTablesChanged,isTableReplacement,personalPronounInComment,personalPronounFrequencyInComment,personalPronounFrequencyInTable,personalPronounImpactInTable,singularPersonalPronounInComment,singularPersonalPronounFrequencyInComment,singularPersonalPronounFrequencyInTable,singularPersonalPronounImpactInTable,vulgarWordFrequencyInComment,vulgarWordFrequencyInTables,vulgarWordImpactInTables,sexualWordFrequencyInComment,sexualWordFrequencyInTables,sexualWordImpactInTables,nonDictionaryWordFrequencyInComment,nonDictionaryWordFrequencyInTable,nonDictionaryWordImpactInTable,superlativeWordFrequencyInTable,superlativeWordImpactInTable,superlativeWordFrequencyInComment,wikiSyntaxElementFrequencyInTable,wikiSyntaxElementImpactInTable,wikiSyntaxElementFrequencyInComment,averageAllBadWordFrequencyInTable,averageAllBadWordImpactInTable,averageAllBadWordFrequencyInComment,revertInComment,redirectInComment,replaceInComment,goodFaithInComment,digitRatio,alphanumericRatio,uppercaseRatio,uppercaseToLowercaseRatio,longCharSeq,lengthOfLongestToken,newWordFrequency,refAddedRatio,refRemovedRatio,refCount,previousLength,sizeChange,addedSizeRatio,removedSizeRatio,LZWCompressionRate,kldOfAddedCharDistribution,kldOfCharDistribution,rawCommentLength,userCommentLength,hasNumericOutlierInColumns,hasNumericOutlierInRows,tableDataTypeInformationGain,templateUseFlags,templateUseFifaFlags,templateUsePageLink,templateUseYesNo,revision_id,tag_id
0.0,0.0,13.0,-1.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.314814814814815E-4,0.002777777777777778,0.011904761904761904,0.08333333333333333,2.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.006211180124223602,1.0,0.0,0.0,0.0,0.0,0.5403726708074534,87.0,0.018633540372670808,3.0,0.0,0.3157894736842105,24.0,0.0,0.11304347826086958,18.2,0.0,0.0,0.0,0.0,0.0,0.09785353535353536,0.7512626262626263,0.07323232323232323,0.12717391304347825,3.0,78.0,-1.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.4978593272171254,0.0,0.0,34.0,34.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,228189784,12
0.0,0.0,2.0,-1.0,2.0,-1.0,0.0,0.8333333134651184,0.8571428656578064,0.5,0.5,1.0,25.0,25.0,198701.0,0.0,0.0,0.13196125907990314,0.02727272727272727,57386.0,0.012044424725982064,0.026851851851851852,0.05277777777777778,0.07738095238095238,0.4583333333333333,3.0,56.8421052631579,7.0,6.0,42.0,0.0,0.16666666666666666,6.0,1.0,0.0,0.9923809523809526,0.0,0.0,0.09594882729211085,20.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002372479240806643,0.0,-0.125,0.0,0.4,-0.010416666666666666,0.0,0.0,-0.02452550415183867,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.7567567567567568,0.08108108108108109,0.14084507042253522,2.0,9.0,0.0023710729104919974,0.0,0.0,49.0,20.0,0.0,0.0,0.0,0.30789448981507556,85.52180635800808,-0.8029860511553032,14.0,0.0,1.0,0.0,0.1341291644465452,0.0,0.0,0.0,0.0,730449352,12
0.0,0.0,17.0,-1.0,6.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,7837.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.010923608431985365,0.010069444444444445,0.002777777777777778,0.011904761904761904,0.08333333333333333,2.0,720.0,14.0,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.9922480620155039,0.0,1.0728051391862956,0.0,17.892857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.011428571428571429,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.06666666666666667,0.10228571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.043478260869565216,0.09090909090909091,2.0,10.0,3.623188405797102E-4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.4187874251497006,62.160041396008694,-0.2611372312978585,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216224416,12
0.0,1.0,1.0,-1.0,4.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,2108.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.035599483549263164,0.03518518518518519,0.022222222222222223,0.07142857142857142,0.08333333333333333,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,65.0,30.0,0.0,0.0,0.0,0.35174870466321245,0.0,0.0,152.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,539338621,12
1.0,0.0,20.0,23.0,2.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,4077.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.02893399114321022,0.027314814814814816,0.009722222222222222,0.011904761904761904,0.08333333333333333,2.0,205.71428571428572,18.0,13.0,234.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.457264957264957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004366812227074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.733624454148471E-4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.029197080291970802,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41114982578397213,0.0,0.003315644879149031,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746191686,12
0.0,0.0,12.0,-1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8555.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.002522700550939781,0.0030092592592592593,0.002777777777777778,0.011904761904761904,0.08333333333333333,2.0,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.0,2.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,11.0,11.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,55058176,12
0.0,0.0,1.0,-1.0,5.0,-1.0,0.0,0.7368420958518982,0.8571428656578064,0.5,0.5,1.0,1336.0,1336.0,4369018.0,0.0,0.0,0.03541076487252125,0.0594059405940594,4366585.0,0.025108624862988,0.026504629629629628,0.07361111111111111,0.08928571428571429,0.08333333333333333,2.0,27.169811320754715,55.0,3.0,165.0,0.0,0.0,0.0,0.0,0.0,0.9969008270116719,0.0,1.0004953764861293,0.0,36.72121212121212,0.0,0.0,31.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.295672454003628E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.5913449080072558E-5,0.0,0.0,0.0,0.0,0.0,0.03442506205361155,0.7027303589084095,0.06964524002129528,0.11634540981902596,4.0,168.0,9.39465278468561E-5,0.0,0.0,7.0,145.0,0.0,0.0,0.0,0.29148507427714515,54.86691145412686,-0.03782970863033008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681568790,12
0.0,0.0,21.0,-1.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.314814814814815E-4,0.002777777777777778,0.011904761904761904,0.08333333333333333,2.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.06666666666666667,1.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9552238805970149,0.0,0.0,15.0,15.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,306862647,12
0.0,0.0,1.0,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1072.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.007112246060006189,0.017708333333333333,0.011111111111111112,0.041666666666666664,0.08333333333333333,2.0,180.0,9.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,1.0037243947858472,0.0,59.888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5310043668122271,1.3414048677697372,-0.23901392235829805,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93707903,12
0.0,0.0,16.0,-1.0,1.0,-1.0,0.0,0.9285714030265808,0.875,0.0,0.0,0.0,67.0,32172.0,1684958.0,2.0,0.0,0.5174825174825175,0.01348314606741573,470563.0,0.028448419872213665,0.011226851851851852,0.011111111111111112,0.03571428571428571,0.20833333333333334,2.0,180.0,89.0,4.0,356.0,0.0,0.01098901098901099,-8.0,-2.0,0.0,1.0,0.0,0.0,8.718146871068562E-4,66.96629213483146,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022727272727272728,0.0,0.0,0.0,0.0,0.0,-0.021663778162911613,0.0,0.0,0.0,0.0,-0.022388059701492536,0.0,0.0,-0.00887821017803687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.019801980198019802,99.0,23.0,-1.0,0.0,0.041666666666666664,0.38485648300890796,0.0,0.4704124022985876,0.0,0.0,0.0,0.0,0.0019486795211711705,-0.01639344262295082,0.0,-0.021367521367521368,0.0,572210555,12
0.0,1.0,20.0,-1.0,6.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,19450.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.03688446184651881,0.028125,0.0125,0.011904761904761904,0.08333333333333333,2.0,160.0,81.0,4.0,324.0,0.0,0.0,0.0,0.0,0.0,0.9965277777777778,0.0,1.0000821895290541,0.0,75.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-8.613264427217916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.722652885443583E-4,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.7894736842105263,0.10526315789473684,0.3,1.0,18.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.37795403043056003,130.50721687475846,0.4884707171773709,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499031999,12
