isContributorAnonymous,isBot,timeOfDay,localizedTimeOfDay,dayOfWeek,localizedDayOfWeek,isMinorEdit,authorRank,authorRankOfLast200Edits,authorRankOneMonth,authorRankOfLast200EditsOfOneMonth,hasPreviousSameContributor,timeSinceLastArticleEdit,timeSinceLastArticleEditBySameContributor,timeSinceFirstArticleEditBySameContributor,revertCount,ratioOffAllEditsToContributorEdits,contributorRevertedBeforeInThatArticleCount,timeSinceContributorRevertedBeforeInThatArticle,articleTemperatureAll,articleTemperatureYear,articleTemperatureMonth,articleTemperatureWeek,articleTemperatureDay,articleTemperatureHour,currentRowCount,currentColumnCount,currentCellCount,unmatchedTableRatio,unmatchedRowRatio,cellCountChange,rowCountChange,columnCountChange,sharedCellRatio,rankChange,clipCount,refCount,sizePerCellChangeRatio,emptyCellChangeRatio,personalPronounFrequencyInComment,personalPronounFrequencyInTable,personalPronounImpactInTable,vulgarWordFrequencyInComment,vulgarWordFrequencyInTables,vulgarWordImpactInTables,sexualWordFrequencyInComment,sexualWordFrequencyInTables,sexualWordImpactInTables,nonDictionaryWordFrequencyInComment,nonDictionaryWordFrequencyInTable,nonDictionaryWordImpactInTable,superlativeWordFrequencyInTable,superlativeWordImpactInTable,superlativeWordFrequencyInComment,wikiSyntaxElementFrequencyInTable,wikiSyntaxElementImpactInTable,wikiSyntaxElementFrequencyInComment,averageAllBadWordFrequencyInTable,averageAllBadWordImpactInTable,averageAllBadWordFrequencyInComment,revertInComment,redirectInComment,replaceInComment,goodFaithInComment,ratioOfNumericalCharsToAllChars,ratioOfAlphanumericCharsToAllChars,ratioOfUppercaseCharsToAllChars,ratioOfUppercaseCharsToLowercaseChars,lengthOfLongestConsecutiveSequenceOfSingleChar,lengthOfLongestToken,averageRelativeFrequencyOfNewAddedWords,refChangeRatio,previousLength,sizeChange,sizeRatio,LZWCompressionRate,KLDOfCharDistribution,commentLength,userCommentLength,templateUseFlags,templateUseFifaFlags,templateUsePageLink,templateUseYesNo,revision_id,tag_id
0.0,0.0,13.0,-1.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,2.2222222222222223E-4,0.0026666666666666666,0.011428571428571429,0.08,2.0,0.0,0.0,0.0,1.0,1.0,82.0,34.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,1.0,0.0,0.0,0.0,0.0,0.5403726708074534,87.0,0.018633540372670808,3.0,0.0,0.3157894736842105,24.0,0.0,0.11304347826086958,18.2,0.0,0.0,0.0,0.0,0.0,0.09785353535353536,0.7512626262626263,0.07323232323232323,0.12717391304347825,3.0,78.0,-1.0,1.0,0.0,11909.0,11910.0,0.5138888888888888,1024.0000000000002,34.0,34.0,0.0,0.0,0.0,0.0,228189784,12
0.0,0.0,2.0,-1.0,2.0,-1.0,0.0,0.8333333134651184,0.8571428656578064,0.5,0.5,1.0,25.0,25.0,198701.0,0.0,0.13301088270858524,3.0,57386.0,0.012058971132655956,0.026111111111111113,0.052,0.08,0.48,4.0,7.0,6.0,42.0,1.0,0.2857142857142857,6.0,1.0,0.0,0.9923809523809526,0.0,0.0,-290.0,-0.13957905143481536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002372479240806643,0.0,-0.125,0.0,0.4,-0.010416666666666666,0.0,0.0,-0.02452550415183867,0.0,1.0,0.0,0.0,0.0,0.0423728813559322,0.7796610169491526,0.0847457627118644,0.14102564102564102,2.0,9.0,7.545271629778672E-4,0.0,19755.0,504.0,0.003831999089425959,0.3089943109690159,4.1267393794327045,14.0,14.0,0.0,0.0,0.0,0.0,730449352,12
0.0,0.0,17.0,-1.0,6.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,7837.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.011010303737001122,0.009777777777777778,0.004,0.017142857142857144,0.08,2.0,14.0,4.0,56.0,1.0,0.0,0.0,0.0,0.0,0.9922480620155039,0.0,0.0,0.0,0.003576669112252301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2222222222222222,0.011428571428571429,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.06666666666666667,0.10228571428571429,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.7443609022556391,0.10526315789473684,0.1744186046511628,2.0,29.0,2.372479240806643E-4,0.0,2637.0,78.0,0.003622357742216516,0.4348958333333333,85.52582169698351,67.0,0.0,0.0,0.0,2.0,0.0,216224416,12
0.0,1.0,1.0,-1.0,4.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,2108.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.03561729219536085,0.035555555555555556,0.025333333333333333,0.07428571428571429,0.08,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.05263157894736842,0.7368421052631579,0.07236842105263158,0.1276595744680851,2.0,31.0,2.3628372950238646E-5,0.0,30652.0,-14.0,-1.9590409740954506E-4,0.35389432232658724,1.2866421489672548,152.0,0.0,0.0,0.0,0.0,0.0,539338621,12
1.0,0.0,20.0,23.0,2.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,4077.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.02894500522434582,0.02711111111111111,0.012,0.017142857142857144,0.08,2.0,18.0,13.0,234.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004366812227074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.733624454148471E-4,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.5,1.0,4.0,0.016423357664233577,0.0,1334.0,0.0,4.8440224762642895E-5,0.4282639885222382,342.59518196000306,10.0,10.0,0.0,0.0,0.0,0.0,746191686,12
0.0,0.0,12.0,-1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8555.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0026127969991876303,0.003,0.006666666666666667,0.017142857142857144,0.08,2.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.0,2.0,11.0,0.0,0.0,196.0,-1803.0,-0.9988913525498891,5.0,1023.9999999999999,11.0,11.0,0.0,0.0,0.0,0.0,55058176,12
0.0,0.0,1.0,-1.0,5.0,-1.0,0.0,0.7368420958518982,0.8571428656578064,0.5,0.5,1.0,1336.0,1336.0,4369018.0,0.0,0.03575221238938053,6.0,4366585.0,0.025117509726704554,0.02677777777777778,0.08,0.09142857142857143,0.12,2.0,55.0,3.0,165.0,1.0,0.0,0.0,0.0,0.0,0.9969008270116719,0.0,0.0,7.0,5.840150064783614E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.295672454003628E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.5913449080072558E-5,0.0,0.0,0.0,0.0,0.0,0.034425538093493094,0.7027400764704662,0.06964620309615505,0.11634540981902596,4.0,168.0,9.393251225266742E-5,0.0,148979.0,453.0,5.85303468245353E-4,0.29161392299088457,2.0918681292202925,1.0,1.0,0.0,0.0,2.0,0.0,681568790,12
0.0,0.0,21.0,-1.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,2.2222222222222223E-4,0.0026666666666666666,0.011428571428571429,0.08,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.06666666666666667,1.0,7.0,-1.0,0.0,0.0,181.0,182.0,4.0,1024.0,15.0,15.0,0.0,0.0,0.0,0.0,306862647,12
0.0,0.0,1.0,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1072.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.007137646938791925,0.019777777777777776,0.013333333333333334,0.045714285714285714,0.12,2.0,9.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,4.43508149462259E-4,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.3076923076923077,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.09230769230769231,0.0,1.0,1.0,0.0,0.028699551569506727,0.715695067264574,0.1147982062780269,0.20187793427230047,3.0,49.0,0.005551700208188757,0.0,1106.0,4.0,5.543237250554324E-4,0.5478119935170178,16.6802973078065,136.0,0.0,0.0,0.0,4.0,0.0,93707903,12
0.0,0.0,16.0,-1.0,1.0,-1.0,0.0,0.9285714030265808,0.875,0.0,0.0,0.0,67.0,32172.0,1684958.0,2.0,0.5168800931315483,6.0,470563.0,0.028481499430204612,0.011222222222222222,0.012,0.04,0.24,2.0,89.0,4.0,356.0,1.0,-0.011235955056179775,-8.0,-2.0,0.0,1.0,0.0,0.0,-71.0,3.0197415604461875E-5,0.0,0.0,0.0,0.0,0.0,0.0,-0.022222222222222223,0.0,0.0,0.0,0.0,0.0,-0.021663778162911613,0.0,0.0,0.0,0.0,-0.0189873417721519,0.0,0.0,-0.008777200077026768,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-0.019801980198019802,24591.0,-2744.0,-0.021940314027243422,0.3856422549181683,0.0,0.0,0.0,2.0,0.0,5.0,0.0,572210555,12
