isContributorAnonymous,isBot,timeOfDay,localizedTimeOfDay,dayOfWeek,localizedDayOfWeek,isMinorEdit,authorRank,authorRankOfLast200Edits,authorRankOneMonth,authorRankOfLast200EditsOfOneMonth,hasPreviousSameContributor,timeSinceLastArticleEdit,timeSinceLastArticleEditBySameContributor,timeSinceFirstArticleEdit,revertCount,editRatio,contributorRevertRatio,timeSinceReverted,articleTemperatureAll,articleTemperatureYear,articleTemperatureMonth,articleTemperatureWeek,articleTemperatureDay,articleTemperatureHour,articleTemperatureRatio,currentRowCount,currentColumnCount,currentCellCount,unmatchedTableRatio,unmatchedRowRatio,cellCountChange,rowCountChange,columnCountChange,sharedCellRatio,rankChange,sizePerCellChangeRatio,sizePerCell,emptyCellChangeRatio,emptyCellCount,addedInvalidAttributes,personalPronounFrequencyInComment,personalPronounFrequencyInTable,personalPronounImpactInTable,vulgarWordFrequencyInComment,vulgarWordFrequencyInTables,vulgarWordImpactInTables,sexualWordFrequencyInComment,sexualWordFrequencyInTables,sexualWordImpactInTables,nonDictionaryWordFrequencyInComment,nonDictionaryWordFrequencyInTable,nonDictionaryWordImpactInTable,superlativeWordFrequencyInTable,superlativeWordImpactInTable,superlativeWordFrequencyInComment,wikiSyntaxElementFrequencyInTable,wikiSyntaxElementImpactInTable,wikiSyntaxElementFrequencyInComment,averageAllBadWordFrequencyInTable,averageAllBadWordImpactInTable,averageAllBadWordFrequencyInComment,revertInComment,redirectInComment,replaceInComment,goodFaithInComment,digitRatio,alphanumericRatio,uppercaseRatio,uppercaseToLowercaseRatio,longCharSeq,lengthOfLongestToken,newWordFrequency,refChangeRatio,refCount,previousLength,sizeChange,sizeRatio,LZWCompressionRate,KLDOfCharDistribution,rawCommentLength,userCommentLength,hasNumericOutlierInColumns,hasNumericOutlierInRows,tableDataTypeInformationGain,templateUseFlags,templateUseFifaFlags,templateUsePageLink,templateUseYesNo,revision_id,tag_id
0.0,0.0,13.0,-1.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,2.314814814814815E-4,0.002777777777777778,0.011904761904761904,0.08333333333333333,2.0,720.0,0.0,0.0,0.0,1.0,1.0,82.0,34.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,1.0,0.0,0.0,0.0,0.0,0.5403726708074534,87.0,0.018633540372670808,3.0,0.0,0.3157894736842105,24.0,0.0,0.11304347826086958,18.2,0.0,0.0,0.0,0.0,0.0,0.09785353535353536,0.7512626262626263,0.07323232323232323,0.12717391304347825,3.0,78.0,-1.0,1.0,3.0,0.0,11909.0,11910.0,0.5138888888888888,1024.0000000000002,34.0,34.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,228189784,12
0.0,0.0,2.0,-1.0,2.0,-1.0,0.0,0.8333333134651184,0.8571428656578064,0.5,0.5,1.0,25.0,25.0,198701.0,0.0,0.13301088270858524,0.02702702702702703,57386.0,0.012058971132655956,0.02696759259259259,0.05416666666666667,0.08333333333333333,0.5,4.0,73.84615384615384,7.0,6.0,42.0,1.0,0.2857142857142857,6.0,1.0,0.0,0.9923809523809526,0.0,-0.13957905143481536,3149.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002372479240806643,0.0,-0.125,0.0,0.4,-0.010416666666666666,0.0,0.0,-0.02452550415183867,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.7636363636363637,0.08181818181818182,0.14084507042253522,2.0,9.0,0.0023710729104919974,0.0,49.0,19646.0,504.0,0.003831999089425959,0.3086332627617031,1.1876717766420775,14.0,0.0,1.0,0.0,0.1341291644465452,0.0,0.0,0.0,0.0,730449352,12
0.0,0.0,17.0,-1.0,6.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,7837.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.011010303737001122,0.010185185185185186,0.004166666666666667,0.017857142857142856,0.08333333333333333,2.0,480.0,14.0,4.0,56.0,1.0,0.0,0.0,0.0,0.0,0.9922480620155039,0.0,0.003576669112252301,390.82142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.011428571428571429,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.06666666666666667,0.10228571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.6764705882352942,0.04411764705882353,0.09090909090909091,2.0,10.0,3.623188405797102E-4,0.0,1.0,2553.0,78.0,0.003622357742216516,0.4269362838611217,45.97675458766097,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,216224416,12
0.0,1.0,1.0,-1.0,4.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,2108.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.03561729219536085,0.03530092592592592,0.02361111111111111,0.07738095238095238,0.08333333333333333,2.0,84.70588235294117,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,65.0,30622.0,-14.0,-1.9590409740954506E-4,0.3523305978137468,0.0,152.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,539338621,12
1.0,0.0,20.0,23.0,2.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,4077.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.02894500522434582,0.027430555555555555,0.011111111111111112,0.017857142857142856,0.08333333333333333,2.0,180.0,18.0,13.0,234.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,88.21794871794872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004366812227074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.733624454148471E-4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.029197080291970802,0.0,0.0,1335.0,0.0,4.8440224762642895E-5,0.4263005780346821,4.316534836117144,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746191686,12
0.0,0.0,12.0,-1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8555.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0026127969991876303,0.003125,0.004166666666666667,0.017857142857142856,0.08333333333333333,2.0,480.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.0,2.0,11.0,0.0,0.0,0.0,197.0,-1803.0,-0.9988913525498891,5.0,1023.9999999999999,11.0,11.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,55058176,12
0.0,0.0,1.0,-1.0,5.0,-1.0,0.0,0.7368420958518982,0.8571428656578064,0.5,0.5,1.0,1336.0,1336.0,4369018.0,0.0,0.03575221238938053,0.058823529411764705,4366585.0,0.025117509726704554,0.02662037037037037,0.075,0.09523809523809523,0.125,2.0,26.666666666666668,55.0,3.0,165.0,1.0,0.0,0.0,0.0,0.0,0.9969008270116719,0.0,5.840150064783614E-4,4703.745454545455,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.295672454003628E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.5913449080072558E-5,0.0,0.0,0.0,0.0,0.0,0.034425538093493094,0.7027400764704662,0.06964620309615505,0.11634540981902596,4.0,168.0,9.393251225266742E-5,0.0,7.0,148979.0,453.0,5.85303468245353E-4,0.29161392299088457,2.0918681292202925,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,681568790,12
0.0,0.0,21.0,-1.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,2.314814814814815E-4,0.002777777777777778,0.011904761904761904,0.08333333333333333,2.0,720.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.06666666666666667,1.0,7.0,-1.0,0.0,0.0,0.0,181.0,182.0,4.0,1024.0,15.0,15.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,306862647,12
0.0,0.0,1.0,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1072.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.007137646938791925,0.017824074074074076,0.0125,0.047619047619047616,0.125,2.0,160.0,9.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,4.43508149462259E-4,501.27777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,1.0,6.0,0.0,0.0,0.0,1090.0,4.0,5.543237250554324E-4,0.5557586837294333,2.1154727746077087,136.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,93707903,12
0.0,0.0,16.0,-1.0,1.0,-1.0,0.0,0.9285714030265808,0.875,0.0,0.0,0.0,67.0,32172.0,1684958.0,2.0,0.5168800931315483,0.01348314606741573,470563.0,0.028481499430204612,0.011342592592592593,0.0125,0.041666666666666664,0.25,2.0,160.0,89.0,4.0,356.0,1.0,-0.011235955056179775,-8.0,-2.0,0.0,1.0,0.0,3.0197415604461875E-5,343.4719101123595,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022222222222222223,0.0,0.0,0.0,0.0,0.0,-0.021663778162911613,0.0,0.0,0.0,0.0,-0.022388059701492536,0.0,0.0,-0.008777200077026768,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-0.019801980198019802,99.0,24592.0,-2744.0,-0.021940314027243422,0.3856676447493491,0.0,0.0,0.0,0.0,0.0,0.0019486795211711705,2.0,0.0,5.0,0.0,572210555,12
